name,address,city,state,zip,accred_year,query,prog_id,lon,lat,fips,matched,fips_pip,county_fips,source_query,geocode_source
University of Texas at Austin Dell Medical School Program,1501 Red River St.,Austin,TX,78712,2021,"1501 Red River St., Austin, TX 78712",105,-97.734815982088,30.275533383241,48453,"1501 RED RIVER ST, AUSTIN, TX, 78712",48453,48453,NA,census geocoder
Texas Tech University Health Sciences Center at Lubbock Program,"3601 4th St Lubbock, TX 79430-6211",NA,NA,NA,1997,"3601 4th St Lubbock, TX 79430-6211",106,-101.899076955704,33.592230053095,48303,"3601 4TH ST, LUBBOCK, TX, 79430",48303,48303,NA,census geocoder
Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program,"2401 S 31st St Temple, TX 76508",NA,NA,NA,1998,"2401 S 31st St Temple, TX 76508",107,-97.365900190373,31.0786865406,48027,"2401 S 31ST ST, TEMPLE, TX, 76508",48027,48027,NA,census geocoder
Henry Ford Warren Hospital Program,"4717 St Antoine Blvd Detroit, MI 48201",NA,NA,NA,2016,"4717 St Antoine Blvd Detroit, MI 48201",108,-83.056164869081,42.357990752966,26163,"4717 SAINT ANTOINE ST, DETROIT, MI, 48201",26163,26163,NA,census geocoder
Corewell Health (Taylor) Program,"10000 Telegraph Rd Taylor, MI 48180-3330",NA,NA,NA,2017,"10000 Telegraph Rd Taylor, MI 48180-3330",109,-83.269744744038,42.23357336811,26163,"10000 TELEGRAPH RD, TAYLOR, MI, 48180",26163,26163,NA,census geocoder
Henry Ford Health/Henry Ford Hospital Program,"2799 W Grand Blvd Detroit, MI 48202",NA,NA,NA,2000,"2799 W Grand Blvd Detroit, MI 48202",110,-83.082686737197,42.366931017945,26163,"2799 W GRAND BLVD, DETROIT, MI, 48202",26163,26163,NA,census geocoder
Larkin Community Hospital Program,"7031 SW 62nd Ave South Miami, FL 33143",NA,NA,NA,2018,"7031 SW 62nd Ave South Miami, FL 33143",111,-80.293424802587,25.705622069442,12086,"7031 SW 62ND AVE, SOUTH MIAMI, FL, 33143",12086,12086,NA,census geocoder
Nassau University Medical Center Program,"2201 Hempstead Trnpk East Meadow, NY 11554",NA,NA,NA,1997,"2201 Hempstead Trnpk East Meadow, NY 11554",112,-73.55387560763,40.725365511412,36059,"2201 HEMPSTEAD TPKE, EAST MEADOW, NY, 11554",36059,36059,NA,census geocoder
Sutter Health/California Pacific Medical Center Program,"711 Van Ness Ave San Francisco, CA 94102",NA,NA,NA,1997,"711 Van Ness Ave San Francisco, CA 94102",113,-122.420822997751,37.782117538949,06075,"711 VAN NESS AVE, SAN FRANCISCO, CA, 94102",06075,06075,NA,census geocoder
BronxCare Health System Program,"1650 Selwyn Ave, Bronx, NY 10457",NA,NA,NA,1997,"1650 Selwyn Ave, Bronx, NY 10457",114,-73.910324525513,40.843550935509,36005,"1650 SELWYN AVE, BRONX, NY, 10457",36005,36005,NA,census geocoder
Geisinger Health System Program,"1000 E Mountain Dr Wilkes-Barre, PA 18711",NA,NA,NA,2024,"1000 E Mountain Dr Wilkes-Barre, PA 18711",115,-75.813551619998,41.261294942192,42079,"1000 E MOUNTAIN DR, WILKES BARRE, PA, 18711",42079,42079,NA,census geocoder
HCA Florida Healthcare/USF Morsani College of Medicine GME - Tampa North/Bayonet Point Hospital Program,"3031 Rocky Dr W Tampa, FL 33607",NA,NA,NA,2019,"3031 Rocky Dr W Tampa, FL 33607",116,-82.568671028526,27.968549707714,12057,"3031 N ROCKY POINT DR W, TAMPA, FL, 33607",12057,12057,NA,census geocoder
Kettering Health Network Program,"405 W Grand Ave, Dayton, OH 45405",NA,NA,NA,2018,"405 W Grand Ave, Dayton, OH 45405",117,-84.203073776815,39.769036815638,39113,"405 W GRAND AVE, DAYTON, OH, 45405",39113,39113,NA,census geocoder
Philadelphia College of Osteopathic Medicine Program,"4170 City Ave Philadelphia, PA 19131",NA,NA,NA,2017,"4170 City Ave Philadelphia, PA 19131",118,-75.218643200327,40.004860079037,42101,"4170 E CITY AVE, PHILADELPHIA, PA, 19131",42101,42101,NA,census geocoder
University of Florida College of Medicine Jacksonville Program,"580 W 8th St Jacksonville, FL 32209",NA,NA,NA,2019,"580 W 8th St Jacksonville, FL 32209",119,-81.663329846356,30.34645869663,12031,"580 W 8TH ST, JACKSONVILLE, FL, 32209",12031,12031,NA,census geocoder
Nazareth Hospital Program,"2601 Holme Ave Philadelphia, PA 19152",NA,NA,NA,2021,"2601 Holme Ave Philadelphia, PA 19152",120,-75.041401298634,40.058022883186,42101,"2601 HOLME AVE, PHILADELPHIA, PA, 19152",42101,42101,NA,census geocoder
Cook County Health and Hospitals System Program,"1900 W Polk St Chicago, IL 60612",NA,NA,NA,2000,"1900 W Polk St Chicago, IL 60612",121,-87.673845198145,41.871574289841,17031,"1900 W POLK ST, CHICAGO, IL, 60612",17031,17031,NA,census geocoder
Jamaica Hospital Medical Center/New York Medical College Program,"134-20 Jamaica Ave Jamaica, NY 11418",NA,NA,NA,1999,"134-20 Jamaica Ave Jamaica, NY 11418",122,-73.818433441112,40.702314563156,36081,"134-20 JAMAICA AVE, JAMAICA, NY, 11418",36081,36081,NA,census geocoder
Broward Health Ophthalmology Program,"201 E Sample Rd Deerfield Beach, FL 33064",NA,NA,NA,2022,"201 E Sample Rd Deerfield Beach, FL 33064",123,-80.121812429312,26.27519248099,12011,"201 E SAMPLE RD, DEERFIELD BEACH, FL, 33064",12011,12011,NA,census geocoder
National Capital Consortium Program,"8950 Brown Dr Bethesda, MD 20889",NA,NA,NA,1998,"8950 Brown Dr Bethesda, MD 20889",124,-77.0924511,39.0020595,NA,NA,24031,24031,NA,nominatim (name + city)
San Antonio Uniformed Services Health Education Consortium Program,"2200 Bergquist Dr JBSA Lackland AFB, TX 78236",NA,NA,NA,1995,"2200 Bergquist Dr JBSA Lackland AFB, TX 78236",125,-98.625751527159,29.398058781093,48029,"2200 BERQUIST DR, JBSA LACKLAND, TX, 78236",48029,48029,NA,census geocoder
Madigan Army Medical Center Program,"9040 Jackson Ave Tacoma, WA 98431",NA,NA,NA,1991,"9040 Jackson Ave Tacoma, WA 98431",126,-122.5521491,47.109075,NA,NA,53053,53053,NA,nominatim (name + city)
Naval Medical Center (San Diego) Program,"34800 Bob Wilson Dr San Diego, CA 92134",NA,NA,NA,1998,"34800 Bob Wilson Dr San Diego, CA 92134",127,-117.144634913772,32.724603787307,06073,"34800 BOB WILSON DR, SAN DIEGO, CA, 92134",06073,06073,NA,census geocoder
Michigan State University College of Human Medicine,15 Michigan St NE,East Lansing,MI,49503,??,"15 Michigan St NE, East Lansing, MI 49503",128,-85.668210254627,42.970519285933,26081,"15 MICHIGAN ST NE, GRAND RAPIDS, MI, 49503",26081,26081,NA,census geocoder
